Faction,Unit,Tier,Models,BSData_pts,MFM_pts,Difference,Status,Row_type,Wargear_note
Astra Militarum,Hippogriff Afv,standard,1,,70,,unmatched,unit,
Astra Militarum,Hippogriff Afv,standard,2,,140,,unmatched,unit,
Astra Militarum,Hydra,standard,1,95,90,-5,decreased,unit,
Astra Militarum,Kasrkin,1st-2nd,10,110,115,5,increased,unit,
Astra Militarum,Kasrkin,3rd+,10,120,125,5,increased,unit,
Astra Militarum,Krieg Combat Engineers,1st-2nd,5,60,65,5,increased,unit,
Astra Militarum,Krieg Combat Engineers,1st-2nd,10,95,95,0,unchanged,unit,
Astra Militarum,Krieg Combat Engineers,3rd+,5,70,75,5,increased,unit,
Astra Militarum,Krieg Combat Engineers,3rd+,10,105,105,0,unchanged,unit,
Astra Militarum,Krieg Command Squad,standard,6,65,65,0,unchanged,unit,
Astra Militarum,Krieg Heavy Weapons Squad,standard,4,75,60,-15,decreased,unit,
Astra Militarum,Krieg Heavy Weapons Squad with Krieg heavy flamer,,,,5,,,wargear,per Krieg heavy flamer
Astra Militarum,Leman Russ Battle Tank,1st-2nd,1,185,185,0,unchanged,unit,
Astra Militarum,Leman Russ Battle Tank,3rd+,1,195,195,0,unchanged,unit,
Astra Militarum,Leman Russ Commander,1st-2nd,1,235,235,0,unchanged,unit,
Astra Militarum,Leman Russ Commander,3rd+,1,250,250,0,unchanged,unit,
Astra Militarum,Leman Russ Demolisher,1st-2nd,1,190,190,0,unchanged,unit,
Astra Militarum,Leman Russ Demolisher,3rd+,1,200,200,0,unchanged,unit,
Astra Militarum,Leman Russ Eradicator,1st-2nd,1,170,170,0,unchanged,unit,
Astra Militarum,Leman Russ Eradicator,3rd+,1,180,180,0,unchanged,unit,
Astra Militarum,Leman Russ Executioner,1st-2nd,1,170,170,0,unchanged,unit,
Astra Militarum,Leman Russ Executioner,3rd+,1,180,180,0,unchanged,unit,
Astra Militarum,Leman Russ Exterminator,1st-2nd,1,180,180,0,unchanged,unit,
Astra Militarum,Leman Russ Exterminator,3rd+,1,190,190,0,unchanged,unit,
Astra Militarum,Leman Russ Punisher,1st-2nd,1,150,150,0,unchanged,unit,
Astra Militarum,Leman Russ Punisher,3rd+,1,160,160,0,unchanged,unit,
Astra Militarum,Leman Russ Vanquisher,1st-2nd,1,145,150,5,increased,unit,
Astra Militarum,Leman Russ Vanquisher,3rd+,1,155,160,5,increased,unit,
Astra Militarum,Lord Marshal Dreir,standard,1,100,75,-25,decreased,unit,
Astra Militarum,Lord Solar Leontus,standard,1,130,130,0,unchanged,unit,
Astra Militarum,Manticore,1st-2nd,1,165,150,-15,decreased,unit,
Astra Militarum,Manticore,3rd+,1,185,170,-15,decreased,unit,
Astra Militarum,Militarum Tempestus Command Squad,1st-2nd,5,85,85,0,unchanged,unit,
Astra Militarum,Militarum Tempestus Command Squad,3rd+,5,95,95,0,unchanged,unit,
Astra Militarum,Ministorum Priest,standard,1,35,35,0,unchanged,unit,
Astra Militarum,Nork Deddog,standard,1,60,60,0,unchanged,unit,
Astra Militarum,Ogryn Bodyguard,standard,1,40,40,0,unchanged,unit,
Astra Militarum,Ogryn Squad,standard,3,60,60,0,unchanged,unit,
Astra Militarum,Ogryn Squad,standard,6,130,120,-10,decreased,unit,
Astra Militarum,Primaris Psyker,standard,1,60,60,0,unchanged,unit,
Astra Militarum,Ratlings,standard,5,60,60,0,unchanged,unit,
Astra Militarum,Ratlings,standard,10,100,100,0,unchanged,unit,
Astra Militarum,Rogal Dorn Battle Tank,1st-2nd,1,260,260,0,unchanged,unit,
Astra Militarum,Rogal Dorn Battle Tank,3rd+,1,275,275,0,unchanged,unit,
Astra Militarum,Rogal Dorn Commander,1st-2nd,1,290,290,0,unchanged,unit,
Astra Militarum,Rogal Dorn Commander,3rd+,1,305,305,0,unchanged,unit,
Astra Militarum,Scout Sentinels,standard,1,,55,,unmatched,unit,
Astra Militarum,Scout Sentinels,standard,2,,100,,unmatched,unit,
Astra Militarum,Shadowsword,1st-2nd,1,410,410,0,unchanged,unit,
Astra Militarum,Shadowsword,3rd+,1,430,430,0,unchanged,unit,
Astra Militarum,Sly Marbo,standard,1,55,55,0,unchanged,unit,
Astra Militarum,Stormlord,1st-2nd,1,430,430,0,unchanged,unit,
Astra Militarum,Stormlord,3rd+,1,450,450,0,unchanged,unit,
Astra Militarum,Stormsword,1st-2nd,1,465,465,0,unchanged,unit,
Astra Militarum,Stormsword,3rd+,1,485,485,0,unchanged,unit,
Astra Militarum,Taurox,standard,1,75,75,0,unchanged,unit,
Astra Militarum,Taurox Prime,standard,1,90,85,-5,decreased,unit,
Astra Militarum,Tech-Priest Enginseer,standard,1,45,45,0,unchanged,unit,
Astra Militarum,Tempestus Aquilons,standard,10,100,100,0,unchanged,unit,
Astra Militarum,Tempestus Scions,1st-2nd,5,70,75,5,increased,unit,
Astra Militarum,Tempestus Scions,1st-2nd,10,140,155,15,increased,unit,
Astra Militarum,Tempestus Scions,3rd+,5,80,85,5,increased,unit,
Astra Militarum,Tempestus Scions,3rd+,10,150,165,15,increased,unit,
Astra Militarum,Ursula Creed,standard,1,85,85,0,unchanged,unit,
Astra Militarum,Valkyrie,1st-2nd,1,190,170,-20,decreased,unit,
Astra Militarum,Valkyrie,3rd+,1,200,180,-20,decreased,unit,
Astra Militarum,Wyvern,1st-2nd,1,110,95,-15,decreased,unit,
Astra Militarum,Wyvern,3rd+,1,130,115,-15,decreased,unit,
Black Templars,Aggressor Squad,1st-2nd,3,95,90,-5,decreased,unit,
Black Templars,Aggressor Squad,1st-2nd,6,190,180,-10,decreased,unit,
Black Templars,Aggressor Squad,3rd+,3,105,100,-5,decreased,unit,
Black Templars,Aggressor Squad,3rd+,6,200,190,-10,decreased,unit,
Black Templars,Ancient,standard,1,50,40,-10,decreased,unit,
Black Templars,Ancient In Terminator Armour,standard,1,,65,,unmatched,unit,
Black Templars,Apothecary,standard,1,50,40,-10,decreased,unit,
Black Templars,Apothecary Biologis,standard,1,70,70,0,unchanged,unit,
Black Templars,Assault Intercessor Squad,standard,5,75,75,0,unchanged,unit,
Black Templars,Assault Intercessor Squad,standard,10,150,150,0,unchanged,unit,
Black Templars,Assault Intercessors With Jump Packs,1st-2nd,5,90,85,-5,decreased,unit,
Black Templars,Assault Intercessors With Jump Packs,1st-2nd,10,170,160,-10,decreased,unit,
Black Templars,Assault Intercessors With Jump Packs,3rd+,5,100,95,-5,decreased,unit,
Black Templars,Assault Intercessors With Jump Packs,3rd+,10,180,170,-10,decreased,unit,
Black Templars,Astraeus,1st-2nd,1,525,525,0,unchanged,unit,
Black Templars,Astraeus,3rd+,1,575,575,0,unchanged,unit,
Black Templars,Ballistus Dreadnought,1st-2nd,1,150,150,0,unchanged,unit,
Black Templars,Ballistus Dreadnought,3rd+,1,160,160,0,unchanged,unit,
Black Templars,Bladeguard Ancient,standard,1,45,40,-5,decreased,unit,
Black Templars,Bladeguard Veteran Squad,1st-2nd,3,80,80,0,unchanged,unit,
Black Templars,Bladeguard Veteran Squad,1st-2nd,6,170,160,-10,decreased,unit,
Black Templars,Bladeguard Veteran Squad,3rd+,3,90,90,0,unchanged,unit,
Black Templars,Bladeguard Veteran Squad,3rd+,6,180,170,-10,decreased,unit,
Black Templars,Brutalis Dreadnought,1st-2nd,1,160,150,-10,decreased,unit,
Black Templars,Brutalis Dreadnought,3rd+,1,170,160,-10,decreased,unit,
Black Templars,Captain,standard,1,80,80,0,unchanged,unit,
Black Templars,Captain In Gravis Armour,standard,1,80,80,0,unchanged,unit,
Black Templars,Captain In Phobos Armour,standard,1,70,70,0,unchanged,unit,
Black Templars,Captain In Terminator Armour,standard,1,95,85,-10,decreased,unit,
Black Templars,Captain With Jump Pack,standard,1,75,75,0,unchanged,unit,
Black Templars,Castellan,standard,1,70,70,0,unchanged,unit,
Black Templars,Centurion Assault Squad,standard,3,150,150,0,unchanged,unit,
Black Templars,Centurion Assault Squad,standard,6,300,300,0,unchanged,unit,
Black Templars,Centurion Devastator Squad,standard,3,175,175,0,unchanged,unit,
Black Templars,Centurion Devastator Squad,standard,6,350,350,0,unchanged,unit,
Black Templars,Chaplain,standard,1,60,60,0,unchanged,unit,
Black Templars,Chaplain Grimaldus,standard,4,110,110,0,unchanged,unit,
Black Templars,Chaplain In Terminator Armour,standard,1,75,75,0,unchanged,unit,
Black Templars,Chaplain On Bike,standard,1,75,70,-5,decreased,unit,
Black Templars,Chaplain With Jump Pack,standard,1,75,75,0,unchanged,unit,
Black Templars,Company Heroes,standard,4,105,105,0,unchanged,unit,
Black Templars,Crusade Ancient,standard,1,55,45,-10,decreased,unit,
Black Templars,Desolation Squad,1st-2nd,5,200,180,-20,decreased,unit,
Black Templars,Desolation Squad,3rd+,5,230,210,-20,decreased,unit,
Black Templars,Devastator Squad,standard,5,120,120,0,unchanged,unit,
Black Templars,Devastator Squad,standard,10,200,200,0,unchanged,unit,
Black Templars,Dreadnought,standard,1,135,135,0,unchanged,unit,
Black Templars,Drop Pod,standard,1,70,70,0,unchanged,unit,
Black Templars,Eliminator Squad,standard,3,85,75,-10,decreased,unit,
Black Templars,Emperor'S Champion,standard,1,100,100,0,unchanged,unit,
Black Templars,Eradicator Squad,1st-2nd,3,90,90,0,unchanged,unit,
Black Templars,Eradicator Squad,1st-2nd,6,180,180,0,unchanged,unit,
Black Templars,Eradicator Squad,3rd+,3,100,100,0,unchanged,unit,
Black Templars,Eradicator Squad,3rd+,6,190,190,0,unchanged,unit,
Black Templars,Eradicator Squad With Heavy Bolters,1st-2nd,3,,70,,unmatched,unit,
Black Templars,Eradicator Squad With Heavy Bolters,3rd+,3,,80,,unmatched,unit,
Black Templars,Execrator,standard,1,60,60,0,unchanged,unit,
Black Templars,Firestrike Servo-Turrets,standard,1,,75,,unmatched,unit,
Black Templars,Firestrike Servo-Turrets,standard,2,,150,,unmatched,unit,
Black Templars,Gladiator Lancer,1st-2nd,1,160,160,0,unchanged,unit,
Black Templars,Gladiator Lancer,3rd+,1,170,170,0,unchanged,unit,
Black Templars,Gladiator Reaper,1st-2nd,1,160,160,0,unchanged,unit,
Black Templars,Gladiator Reaper,3rd+,1,170,170,0,unchanged,unit,
Black Templars,Gladiator Valiant,1st-2nd,1,150,150,0,unchanged,unit,
Black Templars,Gladiator Valiant,3rd+,1,160,160,0,unchanged,unit,
Black Templars,Hammerfall Bunker,standard,1,175,175,0,unchanged,unit,
Black Templars,Heavy Intercessor Squad,standard,5,100,100,0,unchanged,unit,
Black Templars,Heavy Intercessor Squad,standard,10,200,200,0,unchanged,unit,
Black Templars,Hellblaster Squad,standard,5,110,110,0,unchanged,unit,
Black Templars,Hellblaster Squad,standard,10,220,220,0,unchanged,unit,
Black Templars,High Marshal Helbrecht,standard,1,120,120,0,unchanged,unit,
Black Templars,Impulsor,standard,1,85,85,0,unchanged,unit,
Black Templars,Inceptor Squad,1st-2nd,3,120,120,0,unchanged,unit,
Black Templars,Inceptor Squad,1st-2nd,6,240,240,0,unchanged,unit,
Black Templars,Inceptor Squad,3rd+,3,135,135,0,unchanged,unit,
Black Templars,Inceptor Squad,3rd+,6,255,255,0,unchanged,unit,
Black Templars,Incursor Squad,1st-2nd,5,80,85,5,increased,unit,
Black Templars,Incursor Squad,1st-2nd,10,160,150,-10,decreased,unit,
Black Templars,Incursor Squad,3rd+,5,90,95,5,increased,unit,
Black Templars,Incursor Squad,3rd+,10,170,160,-10,decreased,unit,
Black Templars,Infernus Squad,standard,5,90,85,-5,decreased,unit,
Black Templars,Infernus Squad,standard,10,180,170,-10,decreased,unit,
Black Templars,Infiltrator Squad,1st-2nd,5,100,110,10,increased,unit,
Black Templars,Infiltrator Squad,1st-2nd,10,200,180,-20,decreased,unit,
Black Templars,Infiltrator Squad,3rd+,5,110,120,10,increased,unit,
Black Templars,Infiltrator Squad,3rd+,10,210,190,-20,decreased,unit,
Black Templars,Intercessor Squad,standard,5,80,80,0,unchanged,unit,
Black Templars,Intercessor Squad,standard,10,160,150,-10,decreased,unit,
Black Templars,Invader Atv,standard,1,60,60,0,unchanged,unit,
Black Templars,Invictor Tactical Warsuit,standard,1,125,125,0,unchanged,unit,
Black Templars,Judiciar,standard,1,70,55,-15,decreased,unit,
Black Templars,Land Raider,1st-2nd,1,220,220,0,unchanged,unit,
Black Templars,Land Raider,3rd+,1,240,240,0,unchanged,unit,
Black Templars,Land Raider Crusader,1st-2nd,1,220,220,0,unchanged,unit,
Black Templars,Land Raider Crusader,3rd+,1,240,240,0,unchanged,unit,
Black Templars,Land Raider Redeemer,1st-2nd,1,270,250,-20,decreased,unit,
Black Templars,Land Raider Redeemer,3rd+,1,290,270,-20,decreased,unit,
Black Templars,Land Speeder,1st-2nd,1,,95,,unmatched,unit,
Black Templars,Land Speeder,3rd+,1,,105,,unmatched,unit,
Black Templars,Lieutenant,standard,1,55,45,-10,decreased,unit,
Black Templars,Lieutenant In Phobos Armour,standard,1,55,45,-10,decreased,unit,
Black Templars,Lieutenant In Reiver Armour,standard,1,55,45,-10,decreased,unit,
Black Templars,Lieutenant With Combi-Weapon,standard,1,85,85,0,unchanged,unit,
Black Templars,Marshal,1st-2nd,1,80,80,0,unchanged,unit,
Black Templars,Marshal,3rd+,1,90,90,0,unchanged,unit,
Black Templars,Outrider Squad,standard,3,80,70,-10,decreased,unit,
Black Templars,Outrider Squad,standard,6,160,140,-20,decreased,unit,
Black Templars,Predator Annihilator,1st-2nd,1,135,135,0,unchanged,unit,
Black Templars,Predator Annihilator,3rd+,1,145,145,0,unchanged,unit,
Black Templars,Predator Destructor,1st-2nd,1,140,140,0,unchanged,unit,
Black Templars,Predator Destructor,3rd+,1,150,150,0,unchanged,unit,
Black Templars,Razorback,standard,1,95,95,0,unchanged,unit,
Black Templars,Redemptor Dreadnought,1st-2nd,1,205,195,-10,decreased,unit,
Black Templars,Redemptor Dreadnought,3rd+,1,220,210,-10,decreased,unit,
Black Templars,Redemptor Dreadnought with Macro plasma incinerator,,,,10,,,wargear,per Macro plasma incinerator
Black Templars,Reiver Squad,standard,5,80,75,-5,decreased,unit,
Black Templars,Reiver Squad,standard,10,160,150,-10,decreased,unit,
Black Templars,Repulsor,1st-2nd,1,180,170,-10,decreased,unit,
Black Templars,Repulsor,3rd+,1,200,190,-10,decreased,unit,
Black Templars,Repulsor Executioner,1st-2nd,1,235,245,10,increased,unit,
Black Templars,Repulsor Executioner,3rd+,1,255,265,10,increased,unit,
Black Templars,Rhino,standard,1,75,75,0,unchanged,unit,
Black Templars,Scout Squad,1st-2nd,5,70,65,-5,decreased,unit,
Black Templars,Scout Squad,1st-2nd,10,140,120,-20,decreased,unit,
Black Templars,Scout Squad,3rd+,5,80,75,-5,decreased,unit,
Black Templars,Scout Squad,3rd+,10,150,130,-20,decreased,unit,
Black Templars,Sternguard Veteran Squad,standard,5,100,85,-15,decreased,unit,
Black Templars,Sternguard Veteran Squad,standard,10,200,160,-40,decreased,unit,
Black Templars,Storm Speeder Hailstrike,1st-2nd,1,115,105,-10,decreased,unit,
Black Templars,Storm Speeder Hailstrike,3rd+,1,125,115,-10,decreased,unit,
Black Templars,Storm Speeder Hammerstrike,1st-2nd,1,125,130,5,increased,unit,
Black Templars,Storm Speeder Hammerstrike,3rd+,1,135,140,5,increased,unit,
Black Templars,Storm Speeder Thunderstrike,1st-2nd,1,135,135,0,unchanged,unit,
Black Templars,Storm Speeder Thunderstrike,3rd+,1,145,145,0,unchanged,unit,
Black Templars,Stormhawk Interceptor,standard,1,155,155,0,unchanged,unit,
Black Templars,Stormraven Gunship,1st-2nd,1,280,280,0,unchanged,unit,
Black Templars,Stormraven Gunship,3rd+,1,300,300,0,unchanged,unit,
Black Templars,Stormtalon Gunship,standard,1,165,165,0,unchanged,unit,
Black Templars,Suppressor Squad,standard,3,75,75,0,unchanged,unit,
Black Templars,Sword Brethren Squad,1st-2nd,4,105,105,0,unchanged,unit,
Black Templars,Sword Brethren Squad,1st-2nd,5,130,130,0,unchanged,unit,
Black Templars,Sword Brethren Squad,1st-2nd,9,105,235,130,increased,unit,
Black Templars,Sword Brethren Squad,1st-2nd,10,260,260,0,unchanged,unit,
Black Templars,Sword Brethren Squad,3rd+,4,120,120,0,unchanged,unit,
Black Templars,Sword Brethren Squad,3rd+,5,145,145,0,unchanged,unit,
Black Templars,Sword Brethren Squad,3rd+,9,120,250,130,increased,unit,
Black Templars,Sword Brethren Squad,3rd+,10,275,275,0,unchanged,unit,
Black Templars,Tactical Squad,standard,10,140,140,0,unchanged,unit,
Black Templars,Techmarine,standard,1,55,55,0,unchanged,unit,
Black Templars,Terminator Assault Squad,standard,5,180,155,-25,decreased,unit,
Black Templars,Terminator Assault Squad,standard,10,360,310,-50,decreased,unit,
Black Templars,Terminator Assault Squad with Thunder Hammer,,,,5,,,wargear,per Thunder Hammer
Black Templars,Terminator Squad,standard,5,175,160,-15,decreased,unit,
Black Templars,Terminator Squad,standard,10,330,320,-10,decreased,unit,
Black Templars,Thunderhawk Gunship,standard,1,840,840,0,unchanged,unit,
Black Templars,Vanguard Veteran Squad With Jump Packs,1st-2nd,5,100,100,0,unchanged,unit,
Black Templars,Vanguard Veteran Squad With Jump Packs,1st-2nd,10,200,200,0,unchanged,unit,
Black Templars,Vanguard Veteran Squad With Jump Packs,3rd+,5,110,110,0,unchanged,unit,
Black Templars,Vanguard Veteran Squad With Jump Packs,3rd+,10,210,210,0,unchanged,unit,
Black Templars,Vindicator,1st-2nd,1,185,185,0,unchanged,unit,
Black Templars,Vindicator,3rd+,1,200,200,0,unchanged,unit,
Black Templars,Whirlwind,1st-2nd,1,190,175,-15,decreased,unit,
Black Templars,Whirlwind,3rd+,1,210,195,-15,decreased,unit,
Blood Angels,Aggressor Squad,1st-2nd,3,95,90,-5,decreased,unit,
Blood Angels,Aggressor Squad,1st-2nd,6,190,180,-10,decreased,unit,
Blood Angels,Aggressor Squad,3rd+,3,105,100,-5,decreased,unit,
Blood Angels,Aggressor Squad,3rd+,6,200,190,-10,decreased,unit,
Blood Angels,Ancient,standard,1,50,40,-10,decreased,unit,
Blood Angels,Ancient In Terminator Armour,standard,1,,65,,unmatched,unit,
Blood Angels,Apothecary,standard,1,50,40,-10,decreased,unit,
Blood Angels,Apothecary Biologis,standard,1,70,70,0,unchanged,unit,
Blood Angels,Assault Intercessor Squad,standard,5,75,80,5,increased,unit,
Blood Angels,Assault Intercessor Squad,standard,10,150,150,0,unchanged,unit,
Blood Angels,Assault Intercessors With Jump Packs,1st-2nd,5,90,95,5,increased,unit,
Blood Angels,Assault Intercessors With Jump Packs,1st-2nd,10,170,180,10,increased,unit,
Blood Angels,Assault Intercessors With Jump Packs,3rd+,5,100,105,5,increased,unit,
Blood Angels,Assault Intercessors With Jump Packs,3rd+,10,180,190,10,increased,unit,
Blood Angels,Astorath,standard,1,85,85,0,unchanged,unit,
Blood Angels,Astraeus,1st-2nd,1,525,525,0,unchanged,unit,
Blood Angels,Astraeus,3rd+,1,575,575,0,unchanged,unit,
Blood Angels,Baal Predator,1st-2nd,1,125,125,0,unchanged,unit,
Blood Angels,Baal Predator,3rd+,1,135,135,0,unchanged,unit,
Blood Angels,Ballistus Dreadnought,1st-2nd,1,150,150,0,unchanged,unit,
Blood Angels,Ballistus Dreadnought,3rd+,1,160,160,0,unchanged,unit,
Blood Angels,Bladeguard Ancient,standard,1,45,40,-5,decreased,unit,
Blood Angels,Bladeguard Veteran Squad,1st-2nd,3,80,85,5,increased,unit,
Blood Angels,Bladeguard Veteran Squad,1st-2nd,6,170,170,0,unchanged,unit,
Blood Angels,Bladeguard Veteran Squad,3rd+,3,90,95,5,increased,unit,
Blood Angels,Bladeguard Veteran Squad,3rd+,6,180,180,0,unchanged,unit,
Blood Angels,Blood Angels Captain,standard,1,80,80,0,unchanged,unit,
Blood Angels,Brutalis Dreadnought,1st-2nd,1,160,150,-10,decreased,unit,
Blood Angels,Brutalis Dreadnought,3rd+,1,170,160,-10,decreased,unit,
Blood Angels,Captain,standard,1,80,80,0,unchanged,unit,
Blood Angels,Captain In Gravis Armour,standard,1,80,80,0,unchanged,unit,
Blood Angels,Captain In Phobos Armour,standard,1,70,70,0,unchanged,unit,
Blood Angels,Captain In Terminator Armour,standard,1,95,85,-10,decreased,unit,
Blood Angels,Captain With Jump Pack,standard,1,75,80,5,increased,unit,
Blood Angels,Centurion Assault Squad,standard,3,150,150,0,unchanged,unit,
Blood Angels,Centurion Assault Squad,standard,6,300,300,0,unchanged,unit,
Blood Angels,Centurion Devastator Squad,standard,3,175,175,0,unchanged,unit,
Blood Angels,Centurion Devastator Squad,standard,6,350,350,0,unchanged,unit,
Blood Angels,Chaplain,standard,1,60,60,0,unchanged,unit,
Blood Angels,Chaplain In Terminator Armour,standard,1,75,75,0,unchanged,unit,
Blood Angels,Chaplain On Bike,standard,1,75,70,-5,decreased,unit,
Blood Angels,Chaplain With Jump Pack,standard,1,75,80,5,increased,unit,
Blood Angels,Chief Librarian Mephiston,standard,1,120,110,-10,decreased,unit,
Blood Angels,Commander Dante,standard,1,120,125,5,increased,unit,
Blood Angels,Company Heroes,standard,4,105,105,0,unchanged,unit,
Blood Angels,Death Company Captain,standard,1,70,70,0,unchanged,unit,
Blood Angels,Death Company Captain With Jump Pack,standard,1,75,75,0,unchanged,unit,
Blood Angels,Death Company Dreadnought,1st-2nd,1,160,150,-10,decreased,unit,
Blood Angels,Death Company Dreadnought,3rd+,1,170,160,-10,decreased,unit,
Blood Angels,Death Company Marines,1st-2nd,5,85,85,0,unchanged,unit,
Blood Angels,Death Company Marines,1st-2nd,10,160,160,0,unchanged,unit,
Blood Angels,Death Company Marines,3rd+,5,95,95,0,unchanged,unit,
Blood Angels,Death Company Marines,3rd+,10,170,170,0,unchanged,unit,
Blood Angels,Death Company Marines With Bolt Rifles,1st-2nd,5,85,80,-5,decreased,unit,
Blood Angels,Death Company Marines With Bolt Rifles,1st-2nd,10,160,155,-5,decreased,unit,
Blood Angels,Death Company Marines With Bolt Rifles,3rd+,5,95,90,-5,decreased,unit,
Blood Angels,Death Company Marines With Bolt Rifles,3rd+,10,170,165,-5,decreased,unit,
Blood Angels,Death Company Marines With Jump Packs,1st-2nd,5,120,120,0,unchanged,unit,
Blood Angels,Death Company Marines With Jump Packs,1st-2nd,10,230,230,0,unchanged,unit,
Blood Angels,Death Company Marines With Jump Packs,3rd+,5,135,135,0,unchanged,unit,
Blood Angels,Death Company Marines With Jump Packs,3rd+,10,245,245,0,unchanged,unit,
Blood Angels,Desolation Squad,1st-2nd,5,200,180,-20,decreased,unit,
Blood Angels,Desolation Squad,3rd+,5,230,210,-20,decreased,unit,
Blood Angels,Devastator Squad,standard,5,120,120,0,unchanged,unit,
Blood Angels,Devastator Squad,standard,10,200,200,0,unchanged,unit,
Blood Angels,Dreadnought,standard,1,135,135,0,unchanged,unit,
Blood Angels,Drop Pod,standard,1,70,70,0,unchanged,unit,
Blood Angels,Eliminator Squad,standard,3,85,75,-10,decreased,unit,
Blood Angels,Eradicator Squad,1st-2nd,3,90,90,0,unchanged,unit,
Blood Angels,Eradicator Squad,1st-2nd,6,180,180,0,unchanged,unit,
Blood Angels,Eradicator Squad,3rd+,3,100,100,0,unchanged,unit,
Blood Angels,Eradicator Squad,3rd+,6,190,190,0,unchanged,unit,
Blood Angels,Eradicator Squad With Heavy Bolters,1st-2nd,3,,70,,unmatched,unit,
Blood Angels,Eradicator Squad With Heavy Bolters,3rd+,3,,80,,unmatched,unit,
Blood Angels,Firestrike Servo-Turrets,standard,1,,75,,unmatched,unit,
Blood Angels,Firestrike Servo-Turrets,standard,2,,150,,unmatched,unit,
Blood Angels,Gladiator Lancer,1st-2nd,1,160,160,0,unchanged,unit,
Blood Angels,Gladiator Lancer,3rd+,1,170,170,0,unchanged,unit,
Blood Angels,Gladiator Reaper,1st-2nd,1,160,160,0,unchanged,unit,
Blood Angels,Gladiator Reaper,3rd+,1,170,170,0,unchanged,unit,
Blood Angels,Gladiator Valiant,1st-2nd,1,150,150,0,unchanged,unit,
Blood Angels,Gladiator Valiant,3rd+,1,160,160,0,unchanged,unit,
Blood Angels,Hammerfall Bunker,standard,1,175,175,0,unchanged,unit,
Blood Angels,Heavy Intercessor Squad,standard,5,100,100,0,unchanged,unit,
Blood Angels,Heavy Intercessor Squad,standard,10,200,200,0,unchanged,unit,
Blood Angels,Hellblaster Squad,standard,5,110,110,0,unchanged,unit,
Blood Angels,Hellblaster Squad,standard,10,220,220,0,unchanged,unit,
Blood Angels,Impulsor,standard,1,80,80,0,unchanged,unit,
Blood Angels,Inceptor Squad,1st-2nd,3,120,120,0,unchanged,unit,
Blood Angels,Inceptor Squad,1st-2nd,6,240,240,0,unchanged,unit,
Blood Angels,Inceptor Squad,3rd+,3,135,135,0,unchanged,unit,
Blood Angels,Inceptor Squad,3rd+,6,255,255,0,unchanged,unit,
Blood Angels,Incursor Squad,1st-2nd,5,80,85,5,increased,unit,
Blood Angels,Incursor Squad,1st-2nd,10,160,150,-10,decreased,unit,
Blood Angels,Incursor Squad,3rd+,5,90,95,5,increased,unit,
Blood Angels,Incursor Squad,3rd+,10,170,160,-10,decreased,unit,
Blood Angels,Infernus Squad,standard,5,90,85,-5,decreased,unit,
Blood Angels,Infernus Squad,standard,10,180,170,-10,decreased,unit,
Blood Angels,Infiltrator Squad,1st-2nd,5,100,110,10,increased,unit,
Blood Angels,Infiltrator Squad,1st-2nd,10,200,180,-20,decreased,unit,
Blood Angels,Infiltrator Squad,3rd+,5,110,120,10,increased,unit,
Blood Angels,Infiltrator Squad,3rd+,10,210,190,-20,decreased,unit,
Blood Angels,Intercessor Squad,standard,5,80,80,0,unchanged,unit,
Blood Angels,Intercessor Squad,standard,10,160,150,-10,decreased,unit,
Blood Angels,Invader Atv,standard,1,60,60,0,unchanged,unit,
Blood Angels,Invictor Tactical Warsuit,standard,1,125,125,0,unchanged,unit,
Blood Angels,Judiciar,standard,1,70,55,-15,decreased,unit,
Blood Angels,Land Raider,1st-2nd,1,220,220,0,unchanged,unit,
Blood Angels,Land Raider,3rd+,1,240,240,0,unchanged,unit,
Blood Angels,Land Raider Crusader,1st-2nd,1,220,220,0,unchanged,unit,
Blood Angels,Land Raider Crusader,3rd+,1,240,240,0,unchanged,unit,
Blood Angels,Land Raider Redeemer,1st-2nd,1,270,250,-20,decreased,unit,
Blood Angels,Land Raider Redeemer,3rd+,1,290,270,-20,decreased,unit,
Blood Angels,Land Speeder,1st-2nd,1,,95,,unmatched,unit,
Blood Angels,Land Speeder,3rd+,1,,105,,unmatched,unit,
Blood Angels,Lemartes,standard,1,100,100,0,unchanged,unit,
Blood Angels,Librarian,standard,1,65,60,-5,decreased,unit,
Blood Angels,Librarian In Phobos Armour,standard,1,70,70,0,unchanged,unit,
Blood Angels,Librarian In Terminator Armour,standard,1,75,75,0,unchanged,unit,
Blood Angels,Lieutenant,standard,1,55,45,-10,decreased,unit,
Blood Angels,Lieutenant In Phobos Armour,standard,1,55,45,-10,decreased,unit,
Blood Angels,Lieutenant In Reiver Armour,standard,1,55,45,-10,decreased,unit,
Blood Angels,Lieutenant With Combi-Weapon,standard,1,85,85,0,unchanged,unit,
Blood Angels,Outrider Squad,standard,3,80,75,-5,decreased,unit,
Blood Angels,Outrider Squad,standard,6,160,140,-20,decreased,unit,
Blood Angels,Predator Annihilator,1st-2nd,1,135,135,0,unchanged,unit,
Blood Angels,Predator Annihilator,3rd+,1,145,145,0,unchanged,unit,
Blood Angels,Predator Destructor,1st-2nd,1,140,140,0,unchanged,unit,
Blood Angels,Predator Destructor,3rd+,1,150,150,0,unchanged,unit,
Blood Angels,Razorback,standard,1,95,95,0,unchanged,unit,
Blood Angels,Redemptor Dreadnought,1st-2nd,1,205,195,-10,decreased,unit,
